epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,7341.66,0.7591,0.4675,1.06535,0.01633,0.97576,0.96228,0.98636,0.83322,0.52487,0.32597,0.94664,0.00251,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7480.02,0.76093,0.46626,1.06452,0.01632,0.97197,0.96555,0.98639,0.83333,0.52883,0.32694,0.94659,0.00365,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,7616.97,0.75145,0.46291,1.06271,0.01611,0.97345,0.96389,0.98623,0.83233,0.52908,0.32498,0.94978,0.00333,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,7753.25,0.75357,0.46572,1.0587,0.01573,0.97187,0.96514,0.98618,0.8334,0.52397,0.32741,0.9461,0.00273,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,7894.8,0.74906,0.46006,1.06326,0.01638,0.97333,0.96353,0.98615,0.83413,0.52173,0.32553,0.94272,0.00234,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,8034.8,0.75394,0.4626,1.05736,0.01651,0.97192,0.96497,0.98591,0.83433,0.52466,0.32234,0.94331,0.00269,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,8173.88,0.74292,0.45557,1.05238,0.01511,0.97163,0.96649,0.98648,0.83479,0.52118,0.321,0.94182,0.00236,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,8314.12,0.74225,0.45199,1.05253,0.01542,0.97209,0.96548,0.98617,0.83484,0.51873,0.31766,0.94071,0.00259,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,8449.5,0.73692,0.45439,1.05414,0.01399,0.97551,0.96389,0.98663,0.83542,0.51732,0.31697,0.94217,0.00227,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,8589.74,0.74022,0.45161,1.04938,0.01412,0.97394,0.96496,0.98664,0.83545,0.51751,0.31529,0.94162,0.00237,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
